fecha_transaccion,monto_transaccion,codigo_pais_comercio,moneda_liquidacion,saldo_disponible,id
03/13/2024,0.9973,DOM,DOP,0.3254474789242157,228b92d55dbb39e3042faa5543ca1d37b711f67e328176f4bd4e7e86daa6e2b0
12/17/2023,0.99917,DOM,DOP,0.7239865120095094,51dfc269fd19da29fff49bd9200cb6214168cb3bca4252379ea85d63cd4cc25e
03/17/2024,0.99988102,USA,USD,0.115757983231721,e87ef0abb857479937de2a2f079f2de20111e15f5878a0b94a2e2e07736815d4
03/05/2024,0.99867744,ESP,USD,0.1151196599900029,5b2cf75e874b83822b9047d34bdc9e59bf314d4782b75a75ac9d1d7658a91a90
12/21/2023,0.99982,DOM,DOP,0.1327175300934342,ffd46e9ef13f23ac0f1ebb302e45d887419570e942575a0af0d6cbb8b8b62694
01/15/2024,0.9992,DOM,DOP,0.1137472019747227,f2789a913b4f580da5f73624f4a6eb79b13ca795dd6466c5933cb56749bc1201
03/01/2024,0.998,DOM,DOP,0.1147074306522525,969ed60aac393bf43e1dfbe221cd994c877473054c5ead949224d201fffa4993
03/30/2024,0.9983524,DOM,DOP,0.1242468671937798,d57807fca1d022f6f8b4d746f263d266d9b61d2613bb050636b01f7299047a0b
03/05/2024,0.9988,DOM,DOP,0.1180469819971286,ac346591de0a8b348317626d4a8cc04b9b37ef784cdfa7b172e8725630c757ce
01/03/2024,0.99891168,DOM,DOP,0.1131694202551652,c9a1ac63fe27f609daba6a1c6026f48a73af82e9bf0cf61f77fcb3b9c44a58f0
03/27/2024,0.99567436,DOM,DOP,0.1166985168232796,5489c53888fbae7dcbdbb87151bb1e0e0745714ba766339225a021d2b1351ba5
03/02/2024,0.99878908,ESP,USD,0.1247675349399527,5b2cf75e874b83822b9047d34bdc9e59bf314d4782b75a75ac9d1d7658a91a90
03/05/2024,0.986,DOM,DOP,0.1136165644161973,969ed60aac393bf43e1dfbe221cd994c877473054c5ead949224d201fffa4993
12/02/2023,0.9996379,DOM,DOP,0.1156438973595123,f4fc4b3942851fd4b5382c791bc039d1174c58b4482e20c33b6ced3f4322bcff
