churned,dias_atraso,limite_credito,tiene_cuenta,año_activacion,mes_activacion,dia_activacion,edad,id_tipo_ocupacion_encoded,nombre_ocupacion_encoded
False,0.0,0.009980199603992,1.0,2023,10,20,28.0,7,103
False,0.0,0.0759815196303926,1.0,2023,7,22,34.0,7,103
True,0.0,0.0159803196063921,1.0,2023,1,26,37.0,7,103
True,0.0,0.009980199603992,1.0,2023,6,23,22.0,7,103
False,0.0,0.0359807196143922,1.0,2023,9,1,25.0,6,25
False,0.0,0.0399807996159923,1.0,2023,9,6,58.0,7,103
False,0.0,0.0899817996359927,1.0,2023,10,7,28.0,7,103
False,0.0,0.2959859197183944,1.0,2024,1,11,31.0,6,5
False,0.0,0.0199803996079921,1.0,2024,1,27,21.0,1,101
True,0.0,0.255985119702394,1.0,2022,12,2,35.0,7,103
False,0.0,0.0319806396127922,1.0,2023,9,13,24.0,7,103
True,0.0,0.0879817596351927,1.0,2023,5,30,27.0,6,16
False,0.0,0.0199803996079921,1.0,2024,2,9,33.0,1,34
False,0.0,0.0199803996079921,0.0,2023,8,16,43.0,7,103
False,0.0,0.0259805196103922,1.0,2024,1,31,36.0,6,72
False,0.0,0.1199823996479929,1.0,2024,1,19,35.0,1,47
False,0.0,0.0159803196063921,1.0,2023,9,25,23.0,7,103
False,0.0,0.0199803996079921,1.0,2024,1,12,23.0,6,15
False,0.0,0.0639812796255925,1.0,2024,2,12,35.0,6,47
False,0.0,0.125982519650393,1.0,2023,12,29,35.0,7,103
False,0.0,0.011980239604792,1.0,2023,8,1,23.0,7,103
False,0.0,0.0659813196263925,1.0,2023,9,25,43.0,7,103
False,0.0,0.0199803996079921,0.0,2023,10,5,22.0,7,103
False,0.0,0.0199803996079921,1.0,2024,1,2,39.0,6,10
False,0.0,0.1999839996799936,1.0,2023,9,29,47.0,7,103
False,0.0,0.0339806796135922,1.0,2023,11,13,30.0,7,103
False,0.0,0.0199803996079921,1.0,2023,9,11,28.0,7,103
False,0.0,0.0599811996239924,1.0,2023,10,23,35.0,7,103
False,0.0,0.0459809196183923,1.0,2023,10,26,45.0,7,103
False,0.0,0.009980199603992,1.0,2023,10,7,29.0,7,103
False,0.0,0.0299805996119922,1.0,2023,11,16,30.0,7,103
True,0.0,0.009980199603992,1.0,2023,11,17,28.0,1,47
False,0.0,0.0159803196063921,1.0,2023,7,26,30.0,7,103
False,0.0,0.0199803996079921,1.0,2023,10,31,40.0,7,103
False,0.0,0.009980199603992,1.0,2023,9,18,46.0,7,103
False,0.0,0.0199803996079921,1.0,2024,1,11,26.0,6,16
False,0.0,0.0199803996079921,1.0,2023,10,31,26.0,7,103
False,0.0,0.0299805996119922,1.0,2024,1,15,23.0,6,16
False,0.0,0.0339806796135922,1.0,2023,10,31,26.0,7,103
False,0.0,0.0919818396367927,1.0,2023,8,10,56.0,1,69
True,0.0,0.0499809996199924,1.0,2023,2,24,22.0,7,103
False,0.0,0.0519810396207924,1.0,2024,1,27,25.0,6,72
False,0.0,0.009980199603992,1.0,2023,10,21,22.0,7,103
False,0.0,0.0199803996079921,1.0,2023,9,11,28.0,7,103
False,0.0,0.0399807996159923,1.0,2024,2,22,32.0,6,80
False,0.0,0.009980199603992,1.0,2023,11,2,32.0,7,103
False,0.0,0.1079821596431928,1.0,2024,1,4,23.0,6,59
False,0.0,0.0399807996159923,1.0,2023,10,5,40.0,7,103
False,0.0,0.0199803996079921,1.0,2023,8,15,25.0,7,103
False,0.0,0.009980199603992,1.0,2023,8,2,33.0,7,103
False,0.0,0.009980199603992,1.0,2023,10,9,33.0,7,103
False,0.0,0.009980199603992,1.0,2024,1,8,23.0,6,13
False,0.0,0.009980199603992,1.0,2023,11,9,49.0,7,103
False,0.0,0.0359807196143922,1.0,2023,11,24,33.0,7,103
False,0.0,0.0599811996239924,1.0,2023,8,4,29.0,7,103
False,0.0,0.0199803996079921,1.0,2023,9,13,28.0,1,77
False,0.0,0.009980199603992,1.0,2023,7,10,22.0,7,103
False,0.0,0.5499909998199964,1.0,2023,8,16,32.0,7,103
False,0.0,0.0199803996079921,1.0,2023,10,30,21.0,7,103
False,0.0,0.1399827996559931,1.0,2024,1,12,45.0,6,72
False,0.0,0.0399807996159923,1.0,2024,1,31,25.0,6,11
False,0.0,0.0479809596191923,1.0,2023,11,30,24.0,7,103
False,0.0,0.0559811196223924,1.0,2023,9,5,42.0,7,103
False,0.0,0.1119822396447929,1.0,2023,11,29,32.0,7,103
False,0.0,0.0999819996399928,1.0,2023,10,3,24.0,7,103
False,0.0,0.009980199603992,1.0,2023,10,27,31.0,7,103
False,0.0,0.0999819996399928,1.0,2024,1,18,43.0,1,48
True,0.0,0.0999819996399928,1.0,2023,11,21,42.0,0,0
False,0.0,0.0939818796375927,1.0,2024,2,2,32.0,6,32
False,0.0,0.0199803996079921,1.0,2023,8,9,28.0,7,103
False,0.0,0.009980199603992,1.0,2023,9,21,29.0,7,103
False,0.0,0.0799815996319926,1.0,2023,9,5,27.0,7,103
False,0.0,0.011980239604792,1.0,2023,9,7,24.0,7,103
False,0.0,0.0199803996079921,1.0,2024,1,4,27.0,6,35
False,0.0,0.0239804796095921,1.0,2023,7,20,29.0,7,103
False,0.0,0.0599811996239924,1.0,2023,11,1,26.0,7,103
False,0.0,0.0219804396087921,1.0,2024,1,25,34.0,1,35
False,0.0,0.0999819996399928,1.0,2023,11,10,28.0,7,103
False,0.0,0.0839816796335926,1.0,2024,1,25,30.0,0,96
False,0.0,0.0399807996159923,1.0,2023,7,6,26.0,7,103
False,0.0,0.1199823996479929,1.0,2023,7,21,26.0,7,103
False,0.0,0.0419808396167923,1.0,2023,10,16,39.0,7,103
False,0.0,0.0799815996319926,1.0,2024,1,5,30.0,0,2
False,0.0,0.3599871997439949,1.0,2024,1,8,29.0,1,48
False,0.0,0.0239804796095921,1.0,2023,10,26,38.0,7,103
True,0.0,0.0499809996199924,1.0,2023,5,31,22.0,7,103
False,0.0,0.3199863997279946,1.0,2023,10,10,39.0,7,103
False,0.0,0.0199803996079921,1.0,2023,8,25,23.0,7,103
False,0.0,0.1199823996479929,1.0,2024,1,24,27.0,6,59
False,0.0,0.0199803996079921,1.0,2023,10,18,39.0,7,103
False,0.0,0.131982639652793,1.0,2023,10,26,26.0,7,103
True,0.0,0.009980199603992,1.0,2023,12,27,32.0,6,35
False,0.0,0.0579811596231924,1.0,2023,11,14,37.0,7,103
False,0.0,0.0599811996239924,0.0,2023,11,24,35.0,7,103
False,0.0,0.133982679653593,1.0,2024,1,4,27.0,6,2
False,0.0,0.0659813196263925,1.0,2023,11,3,25.0,7,103
False,0.0,0.009980199603992,1.0,2023,11,18,24.0,7,103
False,0.0,0.0999819996399928,1.0,2023,10,2,41.0,7,103
False,0.0,0.0399807996159923,1.0,2023,7,31,26.0,7,103
False,0.0,0.009980199603992,1.0,2023,7,5,28.0,7,103
False,0.0,0.0199803996079921,1.0,2023,10,18,55.0,7,103
False,0.0,0.0499809996199924,1.0,2024,1,19,27.0,1,98
False,0.0,0.0199803996079921,1.0,2023,8,10,44.0,0,35
False,0.0,0.1399827996559931,1.0,2024,1,25,27.0,6,20
False,0.0,0.009980199603992,1.0,2023,11,11,37.0,7,103
True,0.0,0.0799815996319926,1.0,2023,3,28,29.0,7,103
False,0.0,0.009980199603992,1.0,2023,9,22,24.0,7,103
False,0.0,0.0219804396087921,1.0,2023,11,28,27.0,7,103
False,0.0,0.0599811996239924,1.0,2024,2,20,26.0,6,44
False,0.0,0.0499809996199924,1.0,2023,8,21,26.0,7,103
False,0.0,0.0719814396287925,1.0,2024,2,27,24.0,6,59
False,0.0,0.009980199603992,1.0,2023,11,14,36.0,7,103
False,0.0,0.0239804796095921,1.0,2024,2,29,20.0,2,53
False,0.0,0.0199803996079921,1.0,2023,9,27,20.0,7,103
False,0.0,0.0199803996079921,1.0,2023,10,16,34.0,7,103
False,0.0,0.011980239604792,1.0,2023,8,5,33.0,7,103
False,0.0,0.1999839996799936,1.0,2023,7,3,34.0,7,103
False,0.0,0.0199803996079921,1.0,2024,1,4,32.0,0,99
False,0.0,0.009980199603992,1.0,2024,1,25,36.0,6,24
False,0.0,0.0379807596151923,1.0,2023,9,23,34.0,7,103
False,0.0,0.0199803996079921,0.0,2023,9,4,26.0,6,23
False,0.0,0.1619832396647933,1.0,2023,8,8,44.0,7,103
False,0.0,0.0799815996319926,1.0,2023,8,17,26.0,7,103
False,0.0,0.4419888397767955,1.0,2023,7,18,33.0,7,103
False,0.0,0.2399847996959939,1.0,2023,8,14,42.0,7,103
False,0.0,0.009980199603992,1.0,2023,8,8,40.0,7,103
False,0.0,1.0,1.0,2024,2,18,46.0,6,2
False,0.0,0.0299805996119922,1.0,2024,2,20,28.0,6,65
True,0.0,0.0839816796335926,1.0,2023,7,26,37.0,7,103
False,0.0,0.8999979999599992,1.0,2023,8,10,56.0,0,0
False,0.0,0.0399807996159923,1.0,2024,1,15,23.0,6,72
False,0.0,0.0599811996239924,1.0,2023,8,9,30.0,6,2
False,0.0,0.0879817596351927,1.0,2023,11,23,35.0,7,103
False,0.0,0.0399807996159923,1.0,2023,7,11,32.0,7,103
False,0.0,0.0599811996239924,1.0,2023,10,5,43.0,7,103
False,0.0,0.0199803996079921,1.0,2023,11,10,45.0,7,103
False,0.0,0.009980199603992,1.0,2023,10,30,29.0,7,103
False,0.0,0.0199803996079921,1.0,2023,11,17,22.0,7,103
False,0.0,0.2459849196983939,1.0,2024,1,11,50.0,6,59
False,0.0,0.0259805196103922,1.0,2023,10,21,35.0,7,103
False,0.0,0.1499829996599932,1.0,2023,11,14,40.0,7,103
False,0.0,0.0419808396167923,1.0,2023,11,23,27.0,7,103
False,0.0,0.0399807996159923,1.0,2023,11,27,29.0,7,103
False,0.0,0.0799815996319926,1.0,2024,2,21,46.0,6,72
False,0.0,0.0379807596151923,1.0,2024,2,6,45.0,6,82
False,0.0,0.6999939998799976,1.0,2023,7,21,31.0,7,103
False,0.0,0.0139802796055921,1.0,2024,1,16,22.0,6,69
False,0.0,0.0199803996079921,1.0,2023,7,19,22.0,7,103
False,0.0,0.0199803996079921,1.0,2023,7,6,27.0,7,103
False,0.0,0.0999819996399928,1.0,2023,10,20,34.0,7,103
False,0.0,0.0599811996239924,1.0,2023,9,26,27.0,7,103
False,0.0,0.0379807596151923,1.0,2024,2,16,34.0,6,54
False,0.0,0.0819816396327926,1.0,2024,2,17,31.0,0,49
False,0.0,0.0839816796335926,1.0,2023,11,23,30.0,7,103
False,0.0,0.011980239604792,1.0,2023,9,14,40.0,7,103
False,0.0,0.0199803996079921,1.0,2024,1,31,25.0,6,2
False,0.0,0.1099821996439928,1.0,2023,10,14,29.0,7,103
False,0.0,0.1599831996639932,1.0,2023,10,6,38.0,7,103
False,0.0,0.0439808796175923,1.0,2023,9,18,25.0,7,103
False,0.0,0.1099821996439928,1.0,2023,8,8,31.0,7,103
False,0.0,0.0679813596271925,1.0,2024,2,16,45.0,1,48
False,0.0,0.0359807196143922,1.0,2024,1,31,58.0,6,12
False,0.0,0.0459809196183923,1.0,2023,11,7,39.0,7,103
False,0.0,0.0199803996079921,1.0,2024,1,8,27.0,1,98
False,0.0,0.1059821196423928,1.0,2023,7,8,36.0,7,103
False,0.0,0.0219804396087921,1.0,2024,2,2,44.0,1,0
False,0.0,0.0199803996079921,1.0,2024,2,14,21.0,6,24
False,0.0,0.1119822396447929,1.0,2023,10,24,51.0,7,103
False,0.0,0.0299805996119922,1.0,2023,9,18,30.0,7,103
False,0.0,0.1399827996559931,1.0,2023,9,11,43.0,7,103
False,0.0,0.0199803996079921,1.0,2023,11,17,44.0,7,103
False,0.0,0.0639812796255925,1.0,2024,1,24,21.0,6,99
False,0.0,0.0999819996399928,1.0,2023,9,29,32.0,7,103
False,0.0,0.0499809996199924,1.0,2023,9,21,46.0,7,103
True,0.0,0.0499809996199924,0.0,2023,2,7,35.0,7,103
False,0.0,0.0359807196143922,1.0,2023,7,13,40.0,7,103
False,0.0,0.0199803996079921,1.0,2023,8,8,28.0,7,103
False,0.0,0.7199943998879977,1.0,2023,12,5,46.0,7,103
False,0.0,0.0199803996079921,1.0,2024,1,30,37.0,1,27
False,0.0,0.011980239604792,1.0,2023,7,28,26.0,7,103
False,0.0,0.0539810796215924,1.0,2024,1,21,24.0,1,34
False,0.0,0.0199803996079921,1.0,2024,2,6,20.0,2,53
False,0.0,0.0799815996319926,1.0,2024,2,29,25.0,6,44
False,0.0,0.131982639652793,1.0,2023,10,16,31.0,7,103
False,0.0,0.0199803996079921,1.0,2023,10,14,26.0,7,103
False,0.0,0.1199823996479929,1.0,2023,10,4,34.0,7,103
False,0.0,0.0679813596271925,1.0,2024,1,30,32.0,0,0
False,0.0,0.0399807996159923,1.0,2024,1,26,27.0,0,16
False,0.0,0.0499809996199924,1.0,2024,2,29,50.0,0,55
False,0.0,0.131982639652793,1.0,2024,1,4,27.0,1,59
False,0.0,0.0199803996079921,1.0,2023,8,9,48.0,7,103
False,0.0,0.0199803996079921,1.0,2023,11,17,29.0,7,103
False,0.0,0.0599811996239924,1.0,2023,11,24,39.0,7,103
False,0.0,0.0539810796215924,1.0,2023,8,27,42.0,7,103
False,0.0,0.0159803196063921,1.0,2023,10,19,31.0,7,103
False,0.0,0.0799815996319926,1.0,2023,9,15,41.0,7,103
False,0.0,0.011980239604792,1.0,2023,9,14,31.0,7,103
False,0.0,0.1019820396407928,1.0,2023,9,18,43.0,7,103
False,0.0,0.0199803996079921,1.0,2023,7,27,24.0,6,12
False,0.0,0.0199803996079921,1.0,2024,1,27,38.0,0,89
False,0.0,0.009980199603992,1.0,2023,9,19,27.0,7,103
False,0.0,0.0899817996359927,1.0,2023,9,14,27.0,7,103
False,0.0,0.0219804396087921,1.0,2023,10,13,34.0,7,103
False,0.0,0.0999819996399928,1.0,2023,9,14,28.0,7,103
False,0.0,0.0399807996159923,1.0,2024,2,26,46.0,1,27
False,0.0,0.2199843996879937,1.0,2023,8,19,33.0,7,103
False,0.0,0.4499889997799956,1.0,2024,2,7,42.0,1,0
False,0.0,0.0279805596111922,1.0,2023,10,14,36.0,7,103
True,0.0,0.009980199603992,1.0,2023,6,2,23.0,7,103
False,0.0,0.0439808796175923,1.0,2023,10,26,43.0,7,103
False,0.0,0.131982639652793,1.0,2023,8,14,42.0,7,103
False,0.0,0.0559811196223924,1.0,2023,8,2,30.0,7,103
False,0.0,0.0199803996079921,1.0,2023,9,19,22.0,7,103
False,0.0,0.1599831996639932,1.0,2023,8,13,60.0,7,103
False,0.0,0.129982599651993,1.0,2023,11,10,34.0,7,103
True,0.0,0.0559811196223924,1.0,2023,12,11,24.0,7,103
False,0.0,0.0399807996159923,1.0,2024,1,12,25.0,6,101
False,0.0,0.0399807996159923,1.0,2023,10,10,23.0,7,103
False,0.0,0.0399807996159923,1.0,2023,7,31,36.0,7,103
False,0.0,0.0759815196303926,1.0,2023,7,14,32.0,7,103
False,0.0,0.0199803996079921,1.0,2023,9,29,30.0,7,103
False,0.0,0.0399807996159923,1.0,2024,1,23,22.0,1,70
False,0.0,0.0179803596071921,1.0,2024,2,14,23.0,6,49
True,0.0,0.0199803996079921,1.0,2023,1,28,31.0,7,103
True,0.0,0.0139802796055921,1.0,2023,6,22,27.0,7,103
False,0.0,0.0159803196063921,1.0,2024,2,23,37.0,6,47
False,0.0,0.0199803996079921,1.0,2023,10,6,23.0,7,103
False,0.0,0.0499809996199924,1.0,2023,9,28,29.0,7,103
False,0.0,0.0199803996079921,1.0,2023,10,17,34.0,7,103
False,0.0,0.0679813596271925,1.0,2023,11,7,27.0,7,103
False,0.0,0.0699813996279925,1.0,2023,10,26,31.0,7,103
False,0.0,0.0239804796095921,1.0,2023,10,23,30.0,7,103
False,0.0,0.0259805196103922,1.0,2024,1,27,29.0,0,73
False,0.0,0.009980199603992,1.0,2023,11,8,34.0,7,103
False,0.0,0.0379807596151923,1.0,2023,8,30,25.0,7,103
False,0.0,0.0419808396167923,1.0,2023,11,22,24.0,7,103
True,0.0,0.0379807596151923,1.0,2023,7,21,28.0,7,103
False,0.0,0.0999819996399928,1.0,2023,12,8,43.0,7,103
False,0.0,0.0279805596111922,1.0,2023,10,5,39.0,7,103
True,0.0,0.0459809196183923,1.0,2023,5,18,25.0,7,103
False,0.0,0.0999819996399928,1.0,2024,2,1,22.0,1,69
False,0.0,0.009980199603992,1.0,2023,9,15,30.0,7,103
