churned,id,Fecha de Cancelacion_mes
False,045e6848a152405f1f90c1856254bc8cb1c1c9fb5b27331738664cf66fe9f4d3,
False,8146bcf48f9cde39478294ec921c0d8bb407f2ed2bc80781dceed2c6ee021300,
True,cd6d1ef108cf105d76b0dd652304bebdf5945d6dd3880dbe8702521cf30a80d8,2024-03
True,6aa97b2a9c7fb3ad339caac206aadde732535d9c0d469643a85758b2cb4e308b,2024-03
False,6bf28f11cf82516057b5c2b325fb7b5597257a0000d578c15c79c8a3673e74ba,
False,082ef0f88fbeacb9b5a8b74eb884f7c07e660be4ea524c44049953d77d73772f,
False,5ace4285b742fa5d997343fdbb5388b3732a113a50eeaf9ff6bb30c406d68e94,
False,6d14115dc4b38efc56341f8e28de5c8ea024e79a807ff373c0b5329908b4f36d,
False,e2c10b561c4d339beed26e309a3951bf8e5390903dd9b5a9789209a478228559,
True,3b9cf9d9f523c183768c1eefab4ad3c91992a1b47c19bac2fe24b17f628562c5,2024-04
False,57b3f0388aae2630d3aa3f0fc37f12d8fec57938ac905030b52b265b2dce2c0b,
True,beec3bfcd07fe3d2921975e6ee9ea3834e5fd3f399008bb4733618470fb175c4,2024-06
False,d482b0886ff9636ba5c53d4d547843c63f038da8b3cfe73d4ee130097f591679,
False,fd4d364b760befd593a96beaf37edc4f22760992cd98c9ae786e7462fd8b193e,
False,afce684057e9d018924189f97f7f35ce9da57499e7132e0731dee21f3f29576a,
False,39fc0b64e8c02ea9685733d7946d3a57b75899babbad14ec33e4b93b5a38beca,
False,02c9ffa2cfb92f3b6d74ede471f91ee1f34df5fe1832d6e3b23165dfb767bd1e,
False,dd76af666cf646c077c2995aae66f5b4005cf45141bd2d76d87588f9ed3601a5,
False,04083ec624ae87d24493d130c44bbdc2bf4a15ead4d7b719cf62753d27e25071,
False,96f94bcc1c451f42e7a3953af0b4680c320459445d6af5da589c8305d468531e,
False,4cf0131c7d68373a3c2faaecc1bb11291c12ff506761621e8bf91a54d358fbee,
False,e04363403522d1ec6a03e133e45f093d441a3049324d436fcabe5b48a5cfb870,
False,8b1f168530a6c8295fceafb09fe50c1cbc7c8e720032c9e9156314fe58e78015,
False,4c022c2080df4234521c95cc94b29cb58e61904b1b62aa8478bd15a0fab9f2fb,
False,9b72c327dbb3fa21246b4f4b4417090198245d62e66ba1dbe43e446488a0fd81,
False,eec937d791551abe1c6d60dba96ac3649d3e78184a648ccf2a34913e52916e15,
False,ef5d3f6e34b0a7fb13d84aeb105e8e206fe308f80d258675b5690d08dc57331e,
False,a2a02da4adbce14464e719d37477818e1a038330c1f31ec5b7c6b53343290bca,
False,f605249297d320b4a1d360e636e3a1ff79e2aef74eed45a272b1df0f0395ae97,
False,00285f5a4a17967f03f14a5977a2d6671936edfe25989307d0a7136244bae6c7,
False,d8a35ca00b459be4ebc5ecab2f34017a7951ee1f43cc50660853bc8aded0840a,
True,dfb4ff5c0c78de72a8027beba4d1583b3909bcdf1b393f30df03e2588417273f,2024-06
